region,zone,woreda,kebele,num_farmers
Addis Ababa,,Addis Ketema,Merkato Area,
Addis Ababa,,Bole,Bole Michael,
Afar,Zone 1 (Awsi Rasu),Awash Fentale,Awash Town,130.0
Afar,Zone 1 (Awsi Rasu),Amibara,Amibara_unk_3,81.0
Afar,Zone 3 (Gabirasu),Gewane,Gewane Town,89.0
Amhara,North Gondar,Gondar Zuria,Gondar Town,101.0
Amhara,South Wollo,Dessie Zuria,Dessie Town,93.0
Benishangul-Gumuz,Assosa,Assosa,Assosa Town,95.0
Dire Dawa,,Dire Dawa Urban,Sabian Area,
Gambela,Nuer Zone,Itang,Itang Town,84.0
Harari,,Harar City,Jegol Area,
Oromia,Arsi,Asella,Asella Town,145.0
Oromia,Jimma,Jimma Town,Jimma Town_unk_12,106.0
SNNP,Gurage,Wolkite,Wolkite Town,82.0
Sidama,Hawassa City Admin,Hawassa,Hawassa Town,111.0
Somali,Jijiga,Jijiga,Jijiga Town,140.0
South West Ethiopia,Bench Sheko,Mizan Aman,Mizan Teferi Town,131.0
Tigray,North Western Tigray,Tahitay Adiyabo,Adi Hageray Town,147.0
Tigray,North Western Tigray,Laelay Adiabo,Adi Daero Town,109.0
Tigray,Central Tigray,Axum,Axum Town,99.0
