region,zone,woreda,num_farmers,avg_land_size_ha,avg_farming_experience_years,credit_access_rate,extension_access_rate,avg_distance_to_market_km,avg_travel_time_to_extension,ai_crop_advisory_adoption_rate,ai_livestock_advisory_adoption_rate,ai_driven_technology_adoption_rate
Addis Ababa,,Addis Ketema,0.0,,,,,,,,,
Afar,Zone 1 (Awsi Rasu),Amibara,300.0,2.2108,29.94333333333333,0.49333333333333335,0.5166666666666667,5.7986666666666675,1.5266666666666666,0.64,0.54,0.7966666666666666
Amhara,North Gondar,Gondar Zuria,194.0,2.3238659793814436,28.84020618556701,0.45876288659793807,0.5309278350515464,6.446907216494845,1.613917525773196,0.6649484536082474,0.5257731958762887,0.8195876288659794
Benishangul-Gumuz,Assosa,Assosa,95.0,2.2994736842105263,28.989473684210527,0.3894736842105263,0.5578947368421052,6.24842105263158,1.5621052631578949,0.7052631578947368,0.4631578947368421,0.8105263157894737
Dire Dawa,,Dire Dawa Urban,0.0,,,,,,,,,
Gambela,Nuer Zone,Itang,84.0,2.1245238095238097,28.285714285714285,0.4642857142857143,0.6666666666666666,6.126190476190477,1.4428571428571428,0.7380952380952381,0.5119047619047619,0.8690476190476191
Harari,,Harar City,0.0,,,,,,,,,
Oromia,Arsi,Asella,251.0,2.4490039840637454,28.9800796812749,0.4103585657370518,0.545816733067729,5.894422310756972,1.2370517928286853,0.6414342629482072,0.5338645418326693,0.8007968127490039
SNNP,Gurage,Wolkite,82.0,2.2047560975609755,27.475609756097562,0.45121951219512196,0.5365853658536586,6.070731707317074,1.7170731707317075,0.6097560975609756,0.4878048780487805,0.7804878048780488
Sidama,Hawassa City Admin,Hawassa,111.0,2.177837837837838,29.27027027027027,0.5225225225225225,0.6126126126126126,5.9324324324324325,1.6792792792792792,0.7207207207207207,0.5585585585585585,0.8378378378378378
Somali,Jijiga,Jijiga,140.0,2.198714285714286,30.435714285714287,0.45,0.5642857142857143,6.33,1.4785714285714286,0.6857142857142857,0.55,0.8357142857142857
South West Ethiopia,Bench Sheko,Mizan Aman,131.0,2.1454198473282444,29.35114503816794,0.4885496183206106,0.5419847328244275,5.979389312977099,1.577099236641221,0.7404580152671756,0.5725190839694656,0.8931297709923665
Tigray,Central Tigray,Axum,355.0,2.0479436619718308,30.56056338028169,0.4084507042253521,0.5267605633802817,6.734929577464787,1.455774647887324,0.6676056338028169,0.5521126760563381,0.8394366197183099
