region,zone,woreda,num_farmers,avg_land_size_ha,avg_farming_experience_years,credit_access_rate,extension_access_rate,avg_distance_to_market_km,avg_travel_time_to_extension,ai_crop_advisory_adoption_rate,ai_livestock_advisory_adoption_rate,ai_driven_technology_adoption_rate,baseline_adoption_prob,counterfactual_adoption_prob,policy_effect,scenario,level
Addis Ababa,,Addis Ketema,0.0,,,,,,,,,,1.0,1.0,0.0,education_investment,zone
Afar,Zone 1 (Awsi Rasu),Amibara,211.0,2.1524170616113745,29.65402843601896,0.5165876777251185,0.5165876777251185,5.696208530805688,1.6440758293838862,0.6255924170616114,0.5260663507109005,0.7914691943127962,1.0,1.0,0.0,education_investment,zone
Afar,Zone 3 (Gabirasu),Gewane,89.0,2.349213483146068,30.629213483146067,0.4382022471910112,0.5168539325842697,6.0415730337078655,1.248314606741573,0.6741573033707865,0.5730337078651685,0.8089887640449438,1.0,1.0,0.0,education_investment,zone
Amhara,North Gondar,Gondar Zuria,101.0,2.3733663366336635,29.85148514851485,0.4554455445544553,0.504950495049505,7.102970297029703,1.7574257425742574,0.6732673267326733,0.5544554455445545,0.8118811881188119,1.0,1.0,0.0,education_investment,zone
Amhara,South Wollo,Dessie Zuria,93.0,2.2701075268817204,27.741935483870968,0.4623655913978494,0.5591397849462365,5.734408602150537,1.4580645161290322,0.6559139784946236,0.4946236559139785,0.8279569892473119,1.0,1.0,0.0,education_investment,zone
Benishangul-Gumuz,Assosa,Assosa,95.0,2.2994736842105263,28.989473684210527,0.3894736842105263,0.5578947368421052,6.24842105263158,1.5621052631578949,0.7052631578947368,0.4631578947368421,0.8105263157894737,1.0,1.0,0.0,education_investment,zone
Dire Dawa,,Dire Dawa Urban,0.0,,,,,,,,,,1.0,1.0,0.0,education_investment,zone
Gambela,Nuer Zone,Itang,84.0,2.1245238095238097,28.285714285714285,0.4642857142857143,0.6666666666666666,6.126190476190477,1.4428571428571428,0.7380952380952381,0.5119047619047619,0.8690476190476191,1.0,1.0,0.0,education_investment,zone
Harari,,Harar City,0.0,,,,,,,,,,1.0,1.0,0.0,education_investment,zone
Oromia,Arsi,Asella,145.0,2.471724137931034,29.13793103448276,0.4,0.5379310344827586,6.089655172413793,1.293103448275862,0.6275862068965518,0.5586206896551724,0.8,1.0,1.0,0.0,education_investment,zone
Oromia,Jimma,Jimma Town,106.0,2.417924528301887,28.764150943396228,0.4245283018867923,0.5566037735849056,5.627358490566038,1.160377358490566,0.660377358490566,0.5,0.8018867924528302,1.0,1.0,0.0,education_investment,zone
SNNP,Gurage,Wolkite,82.0,2.2047560975609755,27.47560975609756,0.4512195121951219,0.5365853658536586,6.070731707317074,1.7170731707317075,0.6097560975609756,0.4878048780487805,0.7804878048780488,1.0,1.0,0.0,education_investment,zone
Sidama,Hawassa City Admin,Hawassa,111.0,2.177837837837838,29.27027027027027,0.5225225225225225,0.6126126126126126,5.9324324324324325,1.6792792792792792,0.7207207207207207,0.5585585585585585,0.8378378378378378,1.0,1.0,0.0,education_investment,zone
Somali,Jijiga,Jijiga,140.0,2.198714285714286,30.435714285714287,0.45,0.5642857142857143,6.33,1.4785714285714286,0.6857142857142857,0.55,0.8357142857142857,1.0,1.0,0.0,education_investment,zone
South West Ethiopia,Bench Sheko,Mizan Aman,131.0,2.1454198473282444,29.35114503816794,0.4885496183206106,0.5419847328244275,5.979389312977099,1.577099236641221,0.7404580152671756,0.5725190839694656,0.8931297709923665,1.0,1.0,0.0,education_investment,zone
Tigray,Central Tigray,Axum,99.0,2.056060606060606,30.7979797979798,0.4848484848484847,0.5454545454545454,8.294949494949496,1.315151515151515,0.6262626262626263,0.5858585858585859,0.8181818181818182,1.0,1.0,0.0,education_investment,zone
Tigray,North Western Tigray,Laelay Adiabo,256.0,2.0448046875,30.46875,0.37890625,0.51953125,6.131640625,1.51015625,0.68359375,0.5390625,0.84765625,1.0,1.0,0.0,education_investment,zone
